Title,Year,Rated,Month_Release,Runtime,Genre,Director,Actors,Plot,Language,Country,Awards,Ratings,imdbRating,imdbVotes,imdbID,BoxOffice,Production
The Story of the Last Chrysanthemum,1939,Not Rated,Jan,148,"Drama, Romance",Kenji Mizoguchi,"Shôtarô Hanayagi, Kôkichi Takada, Ryôtarô Kawanami, Kinnosuke Takamatsu","The adopted son of a legendary actor, and an aspiring star himself, turns to his infant brother's wet nurse for support and affection - only for her to give up everything for her beloved's glory.",Japanese,Japan,2 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}]",7.9,3161,tt0032156,N/A,N/A
The Wizard of Oz,1939,PG,Aug,102,"Adventure, Family, Fantasy, Musical","Victor Fleming, George Cukor, Mervyn LeRoy, Norman Taurog, Richard Thorpe, King Vidor","Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr",Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.,English,USA,Won 2 Oscars. Another 9 wins & 17 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '92/100'}]",8,368514,tt0032138,N/A,Metro Goldwyn Mayer
Wuthering Heights,1939,Not Rated,Apr,104,"Drama, Romance",William Wyler,"Merle Oberon, Laurence Olivier, David Niven, Flora Robson",A servant in the house of Wuthering Heights tells a traveler the unfortunate tale of lovers Cathy and Heathcliff.,English,USA,Won 1 Oscar. Another 6 wins & 8 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]",7.6,16104,tt0032145,N/A,"Samuel Goldwyn Production, United Artists"
The Bank Dick,1940,Not Rated,Nov,72,Comedy,Edward F. Cline,"W.C. Fields, Cora Witherspoon, Una Merkel, Evelyn Del Rio",Henpecked Egbert Sousé has comic adventures as a substitute film director and unlikely bank guard.,English,USA,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",7.1,6630,tt0032234,N/A,Universal Pictures
Fantasia,1940,G,Sep,125,"Animation, Family, Fantasy, Music, Musical","James Algar, Samuel Armstrong, Ford Beebe Jr., Norman Ferguson, David Hand, Jim Handley, T. Hee, Wilfred Jackson, Hamilton Luske, Bill Roberts, Paul Satterfield, Ben Sharpsteen","Deems Taylor, Leopold Stokowski, The Philadelphia Orchestra",A collection of animated interpretations of great works of Western classical music.,English,USA,8 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '96/100'}]",7.7,87609,tt0032455,N/A,Walt Disney Productions
The Grapes of Wrath,1940,Passed,Mar,129,"Drama, History",John Ford,"Henry Fonda, Jane Darwell, John Carradine, Charley Grapewin","A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.",English,USA,Won 2 Oscars. Another 8 wins & 5 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '96/100'}]",8,84924,tt0032551,N/A,20th Century Fox
His Girl Friday,1940,Passed,Jan,92,"Comedy, Drama, Romance",Howard Hawks,"Cary Grant, Rosalind Russell, Ralph Bellamy, Gene Lockhart",A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.,"English, French",USA,2 wins.,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}]",7.9,52862,tt0032599,N/A,Columbia Pictures
The Mortal Storm,1940,Passed,Jun,100,Drama,Frank Borzage,"Margaret Sullavan, James Stewart, Robert Young, Frank Morgan","The Roth family leads a quiet life in a small village in the German Alps during the early 1930s. When the Nazis come to power, the family is divided and Martin Breitner, a family friend, is caught up in the turmoil.",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",7.8,4478,tt0032811,N/A,Metro-Goldwyn-Mayer
The Philadelphia Story,1940,Not Rated,Jan,112,"Comedy, Romance",George Cukor,"Cary Grant, Katharine Hepburn, James Stewart, Ruth Hussey","When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.","English, French",USA,Won 2 Oscars. Another 3 wins & 5 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '96/100'}]",7.9,62576,tt0032904,N/A,Metro Goldwyn Mayer
Pinocchio,1940,G,Feb,88,"Animation, Comedy, Family, Fantasy, Musical","Norman Ferguson, T. Hee, Wilfred Jackson, Jack Kinney, Hamilton Luske, Bill Roberts, Ben Sharpsteen","Mel Blanc, Don Brodie, Stuart Buchanan, Walter Catlett","A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",English,USA,Won 2 Oscars. Another 4 wins.,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '99/100'}]",7.4,129351,tt0032910,N/A,Walt Disney Productions
Rebecca,1940,Approved,Apr,130,"Drama, Mystery, Romance, Thriller",Alfred Hitchcock,"Laurence Olivier, Joan Fontaine, George Sanders, Judith Anderson",A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,"English, French",USA,Won 2 Oscars. Another 5 wins & 10 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",8.1,121918,tt0032976,N/A,Selznick International Pictures
Citizen Kane,1941,PG,Sep,119,"Drama, Mystery",Orson Welles,"Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick","Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.","English, Italian",USA,Won 1 Oscar. Another 9 wins & 13 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '100/100'}]",8.3,393158,tt0033467,N/A,"Mercury Productions, RKO Radio Pictures Inc."
Dumbo,1941,G,Oct,64,"Animation, Drama, Family, Musical","Samuel Armstrong, Norman Ferguson, Wilfred Jackson, Jack Kinney, Bill Roberts, Ben Sharpsteen, John Elliotte","Herman Bing, Billy Bletcher, Edward Brophy, Hall Johnson Choir","Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential.",English,USA,Won 1 Oscar. Another 4 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '96/100'}]",7.2,117544,tt0033563,N/A,Walt Disney Productions
High Sierra,1941,Passed,Jan,100,"Action, Adventure, Crime, Drama, Film-Noir, Thriller",Raoul Walsh,"Ida Lupino, Humphrey Bogart, Alan Curtis, Arthur Kennedy","After being released from prison, notorious thief Roy Earle is hired by his old boss to help a group of inexperienced criminals plan and carry out the robbery of a California resort.",English,USA,3 wins.,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}]",7.5,14841,tt0033717,N/A,Warner Brothers
How Green Was My Valley,1941,Not Rated,Apr,118,"Drama, Family",John Ford,"Walter Pidgeon, Maureen O'Hara, Anna Lee, Donald Crisp","At the turn of the century in a Welsh mining village, the Morgans, he stern, she gentle, raise coal-mining sons and hope their youngest will find a better life.","English, Welsh",USA,Won 5 Oscars. Another 8 wins & 6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}]",7.7,20939,tt0033729,N/A,Twentieth Century Fox
The Lady Eve,1941,Passed,Mar,94,"Comedy, Romance",Preston Sturges,"Barbara Stanwyck, Henry Fonda, Charles Coburn, Eugene Pallette","A trio of classy card sharks targets the socially awkward heir to brewery millions for his money, until one of them falls in love with him.",English,USA,Nominated for 1 Oscar. Another 2 wins.,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '96/100'}]",7.8,18740,tt0033804,N/A,Paramount Pictures
The Maltese Falcon,1941,Not Rated,Oct,100,"Film-Noir, Mystery",John Huston,"Humphrey Bogart, Mary Astor, Gladys George, Peter Lorre","A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.",English,USA,Nominated for 3 Oscars. Another 4 wins.,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '96/100'}]",8,147210,tt0033870,N/A,"Warner Brothers, First National Pictures"
Sergeant York,1941,Passed,Sep,134,"Biography, Drama, History, Romance, War",Howard Hawks,"Gary Cooper, Walter Brennan, Joan Leslie, George Tobias",A marksman is drafted in World War I and ends up becoming one of the most celebrated war heroes.,"English, French, German",USA,Won 2 Oscars. Another 3 wins & 10 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}]",7.7,15241,tt0034167,N/A,Warner Brothers
Sullivan's Travels,1941,Not Rated,Feb,90,"Adventure, Comedy, Drama, Romance",Preston Sturges,"Joel McCrea, Veronica Lake, Robert Warwick, William Demarest","A Hollywood director, John L Sullivan, sets out to experience life as a poor, homeless person in order to gain relevant life experience for his next movie.",English,USA,2 wins.,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",7.9,23696,tt0034240,N/A,Paramount Pictures
The Wolf Man,1941,Not Rated,Dec,70,Horror,George Waggner,"Lon Chaney Jr., Claude Rains, Warren William, Ralph Bellamy","Larry Talbot returns to his father's castle in Wales and meets a beautiful woman. One fateful night, Talbot escorts her to a local carnival where they meet a mysterious gypsy fortune teller.",English,USA,1 win & 3 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",7.3,23720,tt0034398,N/A,Universal Pictures
Casablanca,1942,PG,Jan,102,"Drama, Romance, War",Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains",A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,"English, French, German, Italian",USA,Won 3 Oscars. Another 5 wins & 9 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '99%'}, {'Source': 'Metacritic', 'Value': '100/100'}]",8.5,515660,tt0034583,N/A,Warner Brothers
Cat People,1942,Not Rated,Dec,73,"Fantasy, Horror, Thriller",Jacques Tourneur,"Simone Simon, Kent Smith, Tom Conway, Jane Randolph",An American man marries a Serbian immigrant who fears that she will turn into the cat person of her homeland's fables if they are intimate together.,"English, Czech, Serbian",USA,1 win & 3 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}]",7.3,19401,tt0034587,N/A,RKO Radio Pictures Inc.
The Magnificent Ambersons,1942,Not Rated,Jul,88,"Drama, Romance","Orson Welles, Fred Fleck, Robert Wise","Joseph Cotten, Dolores Costello, Anne Baxter, Tim Holt",The spoiled young heir to the decaying Amberson fortune comes between his widowed mother and the man she has always loved.,English,USA,Nominated for 4 Oscars. Another 4 wins.,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '93/100'}]",7.7,22318,tt0035015,N/A,"Mercury Productions, RKO Radio Pictures Inc."
Mrs. Miniver,1942,Not Rated,Dec,134,"Drama, Romance, War",William Wyler,"Greer Garson, Walter Pidgeon, Teresa Wright, May Whitty",A British family struggles to survive the first months of World War II.,"English, German",USA,Won 6 Oscars. Another 4 wins & 7 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}]",7.6,15698,tt0035093,N/A,Metro Goldwyn Mayer
"Now, Voyager",1942,Passed,Oct,117,"Drama, Romance",Irving Rapper,"Bette Davis, Paul Henreid, Claude Rains, Gladys Cooper","A frumpy spinster blossoms under therapy and becomes an elegant, independent woman.","English, Portuguese",USA,Won 1 Oscar. Another 1 win & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",7.9,14898,tt0035140,N/A,Warner Brothers
The Palm Beach Story,1942,Passed,Jan,88,"Comedy, Romance",Preston Sturges,"Claudette Colbert, Joel McCrea, Mary Astor, Rudy Vallee","An inventor needs cash to develop his big idea. His wife, who loves him, decides to raise it for him by divorcing him and marrying a millionaire.",English,USA,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",7.5,10674,tt0035169,N/A,Paramount Pictures
To Be or Not to Be,1942,Passed,Mar,99,"Comedy, War",Ernst Lubitsch,"Carole Lombard, Jack Benny, Robert Stack, Felix Bressart","During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.","English, German",USA,Nominated for 1 Oscar. Another 2 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",8.2,28639,tt0035446,N/A,Ernst Lubitsch-Film
Yankee Doodle Dandy,1942,Passed,Jun,126,"Biography, Drama, Musical",Michael Curtiz,"James Cagney, Joan Leslie, Walter Huston, Richard Whorf","The life of the renowned musical composer, playwright, actor, dancer, and singer George M. Cohan.",English,USA,Won 3 Oscars. Another 3 wins & 6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '89/100'}]",7.7,13865,tt0035575,N/A,Warner Brothers
Fires Were Started,1943,N/A,Apr,63,"Drama, War",Humphrey Jennings,"Philip Dickson, George Gravett, Fred Griffiths, Johnny Houghton",A tale of firefighters in London during the Blitz.,English,UK,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}]",6.5,896,tt0035881,N/A,N/A
The Life and Death of Colonel Blimp,1943,Not Rated,May,163,"Drama, Romance, War","Michael Powell, Emeric Pressburger","James McKechnie, Neville Mapp, Vincent Holman, Roger Livesey","From the Boer War through World War II, a soldier rises through the ranks in the British military.","English, French, German",UK,1 win & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]",8.1,12977,tt0036112,N/A,"Independent Producers, The Archers"
The Man in Grey,1943,Approved,Mar,90,"Drama, History, Romance",Leslie Arliss,"Margaret Lockwood, Phyllis Calvert, James Mason, Stewart Granger","After a brutish, hedonistic Marquis marries a pretty young Clarissa to act as a 'brood sow,' he begins an affair with her friend who plots to take her place.",English,UK,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}]",6.6,920,tt0036135,N/A,N/A
Meshes of the Afternoon,1943,Not Rated,,14,"Short, Fantasy, Mystery","Maya Deren, Alexander Hammid","Maya Deren, Alexander Hammid","A woman returning home falls asleep and has vivid dreams that may or may not be happening in reality. Through repetitive images and complete mismatching of the objective view of time and space, her dark inner desires play out on-screen.",None,USA,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",7.9,10860,tt0036154,N/A,N/A
Obsession,1943,TV-14,May,140,"Crime, Drama, Romance",Luchino Visconti,"Clara Calamai, Massimo Girotti, Dhia Cristiani, Elio Marcuzzo","Gino, a drifter, begins an affair with inn-owner Giovanna as they plan to get rid of her older husband.",Italian,Italy,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",7.6,6768,tt0035160,N/A,Industrie Cinematografiche Italiane (ICI)
The Ox-Bow Incident,1942,Not Rated,May,75,"Drama, Western",William A. Wellman,"Henry Fonda, Dana Andrews, Mary Beth Hughes, Anthony Quinn","When a posse captures three men suspected of killing a local farmer, they become strongly divided over whether or not to lynch the men.","English, Spanish",USA,Nominated for 1 Oscar. Another 5 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}]",8,20627,tt0036244,N/A,Twentieth Century Fox
The Seventh Victim,1943,Approved,Aug,71,"Drama, Horror, Mystery",Mark Robson,"Tom Conway, Jean Brooks, Isabel Jewell, Kim Hunter","A woman in search of her missing sister uncovers a Satanic cult in New York's Greenwich Village, and finds that they may have something to do with her sibling's random disappearance.","English, Italian, Latin, French",USA,3 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}]",6.8,5797,tt0036341,N/A,RKO Radio Pictures Inc.
Shadow of a Doubt,1943,PG,Jan,108,Thriller,Alfred Hitchcock,"Teresa Wright, Joseph Cotten, Macdonald Carey, Henry Travers","A young girl, overjoyed when her favorite uncle comes to visit the family, slowly begins to suspect that he is in fact the ""Merry Widow"" killer sought by the authorities.",English,USA,Nominated for 1 Oscar. Another 2 wins & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '94/100'}]",7.8,58428,tt0036342,N/A,Universal Pictures
Double Indemnity,1944,Passed,Jul,107,"Crime, Drama, Film-Noir, Mystery, Thriller",Billy Wilder,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Porter Hall",An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,English,USA,Nominated for 7 Oscars. Another 2 wins & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '95/100'}]",8.3,141588,tt0036775,N/A,Paramount Pictures
Gaslight,1944,Not Rated,Oct,114,"Crime, Drama, Mystery, Thriller",George Cukor,"Charles Boyer, Ingrid Bergman, Joseph Cotten, May Whitty","Years after her aunt was murdered in her home, a young woman moves back into the house with her new husband. However, he has a secret that he will do anything to protect, even if it means driving his wife insane.","English, Italian",USA,Won 2 Oscars. Another 4 wins & 7 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}]",7.8,23765,tt0036855,N/A,Metro Goldwyn Mayer
Henry V,1944,Not Rated,Oct,137,"Biography, Drama, History, War",Laurence Olivier,"Leslie Banks, Felix Aylmer, Robert Helpmann, Vernon Greeves","In the midst of the Hundred Years' War, the young King Henry V of England embarks on the conquest of France in 1415.","English, French",UK,Nominated for 4 Oscars. Another 8 wins & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",7.1,5670,tt0036910,N/A,Two Cities Films Ltd.
"Ivan the Terrible, Part I",1944,Not Rated,Mar,95,"Biography, Drama, History",Sergei M. Eisenstein,"Nikolay Cherkasov, Lyudmila Tselikovskaya, Serafima Birman, Mikhail Nazvanov","During the early part of his reign, Ivan the Terrible faces betrayal from the aristocracy and even his closest friends as he seeks to unite the Russian people.",Russian,Soviet Union,2 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",7.8,8882,tt0037824,N/A,N/A
Laura,1944,Passed,Nov,88,"Drama, Film-Noir, Mystery",Otto Preminger,"Gene Tierney, Dana Andrews, Clifton Webb, Vincent Price",A police detective falls in love with the woman whose murder he is investigating.,English,USA,Won 1 Oscar. Another 2 wins & 4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",8,42038,tt0037008,N/A,Twentieth Century Fox
Meet Me in St. Louis,1944,Passed,Jan,113,"Comedy, Drama, Family, Music, Romance",Vincente Minnelli,"Judy Garland, Margaret O'Brien, Mary Astor, Lucille Bremer","In the year leading up to the 1904 St. Louis World's Fair, the four Smith daughters learn lessons of life and love, even as they prepare for a reluctant move to New York.",English,USA,Nominated for 4 Oscars. Another 6 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",7.6,19887,tt0037059,N/A,Metro Goldwyn Mayer
"Murder, My Sweet",1944,Approved,Feb,95,"Crime, Drama, Film-Noir, Mystery, Thriller",Edward Dmytryk,"Dick Powell, Claire Trevor, Anne Shirley, Otto Kruger","After being hired to find an ex-con's former girlfriend, Philip Marlowe is drawn into a deeply complex web of mystery and deceit.",English,USA,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}]",7.6,11886,tt0037101,N/A,RKO Radio Pictures Inc.
To Have and Have Not,1944,Passed,Jan,100,"Adventure, Comedy, Film-Noir, Romance, Thriller, War",Howard Hawks,"Humphrey Bogart, Walter Brennan, Lauren Bacall, Dolores Moran","During World War II, American expatriate Harry Morgan helps transport a French Resistance leader and his beautiful wife to Martinique while romancing a sensuous lounge singer.","English, French",USA,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",7.8,30549,tt0037382,N/A,Warner Brothers
San Pietro,1945,Unrated,May,32,"Documentary, Short, War",John Huston,"Mark W. Clark, John Huston",Director John Huston documents the Battle of San Pietro Infine in December 1943.,English,USA,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",6.6,1918,tt0036630,N/A,N/A
Brief Encounter,1945,Not Rated,Aug,86,"Drama, Romance",David Lean,"Celia Johnson, Trevor Howard, Stanley Holloway, Joyce Carey","Meeting a stranger in a railway station, a woman is tempted to cheat on her husband.","English, French",UK,Nominated for 3 Oscars. Another 3 wins.,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '92/100'}]",8,34884,tt0037558,N/A,"G.C.F., The Rank Organization [gb], Cineguild"
Children of Paradise,1945,Not Rated,Nov,189,"Drama, Romance",Marcel Carné,"Arletty, Jean-Louis Barrault, Pierre Brasseur, Pierre Renoir",The theatrical life of a beautiful courtesan and the four men who love her.,French,France,Nominated for 1 Oscar. Another 2 wins.,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '96/100'}]",8.4,17914,tt0037674,N/A,Pathé Cinéma
Detour,1945,Passed,Jan,68,"Crime, Drama, Film-Noir",Edgar G. Ulmer,"Tom Neal, Ann Savage, Claudia Drake, Edmund MacDonald",Chance events trap hitch-hiker Al Roberts in a tightening net of film noir trouble.,English,USA,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",7.4,14644,tt0037638,N/A,Producers Releasing Corporation (PRC)
I Know Where I'm Going!,1945,Not Rated,Aug,91,"Drama, Romance","Michael Powell, Emeric Pressburger","George Carney, Wendy Hiller, Walter Hudd, Duncan MacKechnie","A young Englishwoman goes to the Hebrides to marry her older, wealthier fiancé. When the weather keeps them separated on different islands, she begins to have second thoughts.","English, Scottish Gaelic",UK,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",7.5,7784,tt0037800,N/A,The Archers
The Lost Weekend,1945,Passed,Jan,101,"Drama, Film-Noir",Billy Wilder,"Ray Milland, Jane Wyman, Phillip Terry, Howard Da Silva",The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,English,USA,Won 4 Oscars. Another 12 wins & 3 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",7.9,33148,tt0037884,N/A,Paramount Pictures
Mildred Pierce,1945,Approved,Oct,111,"Crime, Drama, Film-Noir, Mystery, Romance",Michael Curtiz,"Joan Crawford, Jack Carson, Zachary Scott, Eve Arden",A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.,English,USA,Won 1 Oscar. Another 2 wins & 6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",8,22424,tt0037913,N/A,Warner Bros.
"Rome, Open City",1945,Not Rated,Oct,103,"Drama, Thriller, War",Roberto Rossellini,"Aldo Fabrizi, Anna Magnani, Marcello Pagliero, Vito Annichiarico","During the Nazi occupation of Rome in 1944, the Resistance leader, Giorgio Manfredi, is chased by the Nazis as he seeks refuge and a way to escape.","Italian, German, Latin",Italy,Nominated for 1 Oscar. Another 7 wins.,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",8,22956,tt0038890,N/A,Excelsa Film
Beauty and the Beast,1946,Not Rated,Dec,93,"Drama, Fantasy, Romance","Jean Cocteau, René Clément","Jean Marais, Josette Day, Mila Parély, Nane Germon","A beautiful young woman takes her father's place as the prisoner of a mysterious beast, who wishes to marry her.",French,France,1 win & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Metacritic', 'Value': '92/100'}]",7.9,23964,tt0038348,N/A,Light Quest Films
The Best Years of Our Lives,1946,Approved,May,170,"Drama, Romance, War",William Wyler,"Myrna Loy, Fredric March, Dana Andrews, Teresa Wright",Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.,English,USA,Won 7 Oscars. Another 14 wins & 3 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '93/100'}]",8,56566,tt0036868,N/A,Samuel Goldwyn Company
The Big Sleep,1946,Not Rated,Aug,114,"Crime, Film-Noir, Mystery, Thriller",Howard Hawks,"Humphrey Bogart, Lauren Bacall, John Ridgely, Martha Vickers","Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love.",English,USA,2 wins.,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",7.9,77933,tt0038355,N/A,Warner Brothers/Seven Arts
