Title,Year,Rated,Month_Release,Runtime,Genre,Director,Actors,Plot,Language,Country,Awards,Ratings,imdbRating,imdbVotes,imdbID,BoxOffice,Production
Captain Blood,1935,Passed,Dec,119,"Action, Adventure",Michael Curtiz,"Errol Flynn, Olivia de Havilland, Lionel Atwill, Basil Rathbone","After being wrongly convicted as a traitor, Peter Blood, an English physician, is sent to exile in the British colonies of the Caribbean, where he becomes a pirate.","English, French",USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",7.7,12791,tt0026174,N/A,Warner Brothers/Seven Arts
Mutiny on the Bounty,1935,Passed,Jan,132,"Adventure, Biography, Drama, History, Romance",Frank Lloyd,"Charles Laughton, Clark Gable, Franchot Tone, Herbert Mundin","First mate Fletcher Christian leads a revolt against his sadistic commander, Captain Bligh, in this classic seafaring adventure, based on the real-life 1788 mutiny.","English, Polynesian",USA,Won 1 Oscar. Another 2 wins & 7 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",7.7,20557,tt0026752,N/A,Metro-Goldwyn-Mayer
A Night at the Opera,1935,Passed,Nov,96,"Comedy, Music, Musical","Sam Wood, Edmund Goulding","Groucho Marx, Chico Marx, Harpo Marx, Kitty Carlisle",A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.,"English, Italian",USA,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",7.9,30124,tt0026778,N/A,Metro Goldwyn Mayer
Peter Ibbetson,1935,Not Rated,Nov,85,"Drama, Fantasy, Romance",Henry Hathaway,"Gary Cooper, Ann Harding, John Halliday, Ida Lupino","A Victorian-era architect, commissioned by the Duke of Towers to design his stables, falls in love with the Duchess.","English, French",USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}]",7.1,1714,tt0026866,N/A,N/A
Top Hat,1935,Not Rated,Sep,101,"Comedy, Musical, Romance",Mark Sandrich,"Fred Astaire, Ginger Rogers, Edward Everett Horton, Erik Rhodes","An American dancer comes to Britain and falls for a model whom he initially annoyed, but she mistakes him for his goofy producer.","English, Italian",USA,Nominated for 4 Oscars. Another 2 wins & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '92/100'}]",7.7,17068,tt0027125,N/A,RKO Radio Pictures Inc.
Triumph of the Will,1935,Not Rated,Mar,110,"Documentary, History, War",Leni Riefenstahl,"Adolf Hitler, Max Amann, Martin Bormann, Walter Buch","The infamous propaganda film of the 1934 Nazi Party rally in Nuremberg, Germany.",German,Germany,1 win & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}]",7.3,14660,tt0025913,N/A,N/A
Camille,1936,Passed,,109,"Drama, Romance",George Cukor,"Greta Garbo, Robert Taylor, Lionel Barrymore, Elizabeth Allan","A Parisian courtesan must choose between the young man who loves her and the callous baron who wants her, even as her own health begins to fail.","English, French, Latin",USA,Nominated for 1 Oscar. Another 3 wins.,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}]",7.4,7096,tt0028683,N/A,Metro-Goldwyn-Mayer
A Day in the Country,1946,Not Rated,Dec,40,"Short, Comedy, Drama, Romance",Jean Renoir,"Sylvia Bataille, Georges D'Arnoux, Jane Marken, André Gabriello","The family of a Parisian shop-owner spends a day in the country. The daughter falls in love with a man at the inn, where they spend the day.",French,France,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",7.7,5291,tt0028445,N/A,N/A
Dodsworth,1936,Passed,Sep,101,"Drama, Romance",William Wyler,"Walter Huston, Ruth Chatterton, Paul Lukas, Mary Astor",A retired auto manufacturer and his wife take a long-planned European vacation only to find that they want very different things from life.,"English, French, German, Italian",USA,Won 1 Oscar. Another 2 wins & 9 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}]",7.8,7988,tt0027532,N/A,Samuel Goldwyn Company
Modern Times,1936,G,Feb,87,"Comedy, Drama, Family, Romance",Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,English,USA,4 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '96/100'}]",8.5,213467,tt0027977,N/A,Charles Chaplin Productions
